Year,Month,NOAA CO2 (ppm),NOAA CO2 uncertainty
2015,11,400.37,
2015,12,401.66,
2016,1,402.64,
2016,2,403.27,
2016,3,403.86,
2016,4,404.39,
2016,5,404.45,
2016,6,403.66,
2016,7,402.11,
2016,8,400.80,
2016,9,400.99,
2016,10,402.42,
2016,11,403.78,
2016,12,404.69,
2017,1,405.32,
2017,2,405.91,
2017,3,406.32,
2017,4,406.61,
2017,5,406.65,
2017,6,405.86,
2017,7,404.11,
2017,8,402.57,
2017,9,402.66,
2017,10,404.16,
2017,11,405.70,
2017,12,406.75,
2018,1,407.56,
2018,2,408.24,
2018,3,408.77,
2018,4,409.08,
2018,5,408.94,
2018,6,408.06,
2018,7,406.47,
2018,8,405.10,
2018,9,405.17,
2018,10,406.65,
2018,11,408.13,
2018,12,409.18,
2019,1,409.92,
2019,2,410.34,
2019,3,410.89,
2019,4,411.33,
2019,5,411.34,
2019,6,410.53,
2019,7,408.88,
2019,8,407.64,
2019,9,407.92,
2019,10,409.44,
2019,11,410.87,
2019,12,411.76,
2020,1,412.43,
2020,2,412.95,
2020,3,413.44,
2020,4,413.86,
2020,5,413.81,
2020,6,412.88,
2020,7,411.17,
2020,8,409.73,
2020,9,410.00,
2020,10,411.66,
2020,11,413.25,
2020,12,414.14,
2021,1,414.74,
2021,2,415.21,
2021,3,415.51,
2021,4,415.82,
2021,5,416.01,
2021,6,415.20,
2021,7,413.45,
2021,8,412.16,
2021,9,412.38,
2021,10,413.84,
2021,11,415.59,
2021,12,416.62,
2022,1,417.20,
2022,2,417.64,
2022,3,418.06,
2022,4,418.43,
2022,5,418.42,
2022,6,417.50,
2022,7,415.81,
2022,8,414.45,
2022,9,414.60,
2022,10,416.12,
2022,11,417.73,
2022,12,418.77,
2023,1,419.31,
